FMID,start,end,zip
1008720,2014-01-01,2014-12-31,91780
1011404,2016-05-07,2016-09-24,98589
1001625,2015-06-12,2015-10-02,83422
1012084,2016-01-01,2016-12-31,78722
1000274,2016-05-07,2016-10-15,49009
1010472,2016-04-01,2016-10-31,28723
1012690,2016-05-21,2016-10-29,62656
1012276,2016-04-30,2016-11-19,48742
1000574,2013-05-02,2013-10-31,93534
1010358,2014-04-05,2014-12-20,83701
1005799,2013-10-19,2014-04-19,14212
1002602,2014-05-07,2015-03-25,48118
1000480,2014-06-12,2014-08-07,29201
1010255,2014-05-04,2014-11-23,23229
1010850,2015-04-18,2015-10-31,72601
1004439,2014-03-29,2014-11-27,27514
1011014,2015-01-01,2015-12-31,49837
1006537,2015-05-16,2015-10-10,37040
1003140,2013-01-05,2013-01-26,44110
1010404,2014-01-01,2014-12-31,27403
1008041,2013-01-01,2013-12-31,30040
1003818,2016-06-04,2016-10-08,97058
1008326,2016-04-01,2016-10-29,28036
1008073,2014-05-30,2014-09-26,44902
1003881,2016-04-07,2016-10-27,28677
1009848,2014-04-03,2014-10-30,28677
1010232,2014-06-03,2014-08-26,89406
1011799,2016-06-04,2016-09-10,45373
1010536,2014-09-04,2014-10-30,37614
1010258,2014-03-19,2016-11-16,20742
1011169,2015-01-01,2015-12-31,32666
1011397,2015-04-01,2015-12-31,29928
1011028,2016-04-29,2016-10-28,65473
1000826,2015-06-24,2015-08-26,19930
1002090,2014-07-15,2014-09-30,79064
1006158,2013-05-04,2013-09-28,31024
1011244,2015-01-01,2015-12-31,89107
1012652,2016-01-01,2016-12-31,31061
1003842,2014-01-01,2014-12-31,32926
1002310,2014-05-01,2014-10-30,35801
1001776,2014-06-06,2014-09-26,36744
1010827,2015-05-30,2015-08-29,38901
1007289,2014-07-10,2014-11-13,10453
1000937,2014-04-10,2014-09-25,75070
1012357,2016-10-02,2017-05-21,33785
1009685,2016-05-31,2016-08-30,52240
1005085,2014-05-17,2014-10-25,46350
1008427,2013-04-13,2013-11-30,40507
1008433,2013-05-02,2013-11-26,40508
1012633,2016-04-17,2016-11-06,53703
1005683,2014-05-03,2014-10-18,32533
1010745,2015-06-06,2015-10-17,45342
1012541,2016-08-01,2016-10-31,35603
1009647,2014-01-01,2014-12-31,32459
1008419,2014-05-14,2014-06-04,29745
1005975,2016-01-01,2016-12-31,31794
1011764,2016-01-01,2016-12-31,45402
1008728,2014-06-05,2014-09-25,42501
1006754,2014-01-01,2014-12-31,54481
1012307,2016-05-04,2016-11-19,37902
1008429,2013-05-07,2013-09-24,24301
1012771,2016-05-17,2016-09-06,24301
1011497,2015-01-01,2015-12-31,17327
1011599,2016-06-25,2016-10-15,16838
1008517,2016-01-01,2016-12-31,78832
1011059,2015-05-02,2015-10-24,48375
1011060,2015-06-17,2015-10-21,48377
1012201,2016-01-01,2016-12-31,98501
